Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8399521,2019-01-05 18:42:27,2019-01-05 18:39:41,33451,10236006,33451,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399521/SRR8399521.sralite.1,SRX5208977,214640445_Ankur079-C1-45-7_S79,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213491,SAMN10696765,simple,32630,synthetic construct,214640445_Ankur079-C1-45-7_S79,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,56CC62FDD157EC2A6CD1ACDC5DB2E244,528D2AE76C5D86890EB822E0A8D1D4AD
SRR8399619,2019-01-05 18:42:25,2019-01-05 18:39:46,23399,7160094,23399,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399619/SRR8399619.sralite.1,SRX5208879,214640447_Ankur089-C3-45-1_S89,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213393,SAMN10696791,simple,32630,synthetic construct,214640447_Ankur089-C3-45-1_S89,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,B21448B7D240F4B374EC549FB375EB1A,A47A293BC11BCFA12C8460FD451ACAD0
SRR8399615,2019-01-05 18:42:25,2019-01-05 18:39:46,23609,7224354,23609,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399615/SRR8399615.sralite.1,SRX5208883,214640448_Ankur091-C3-45-3_S91,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213397,SAMN10696793,simple,32630,synthetic construct,214640448_Ankur091-C3-45-3_S91,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,370FC24C32755778BB3AFD1D918FC324,BBBB7AF936DEDB147A6D92AEDBBBF5C5
SRR8399789,2019-01-05 18:43:22,2019-01-05 18:40:03,21154,6473124,21154,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399789/SRR8399789.sralite.1,SRX5209222,214640451_Ankur115-E1-45-3_S115,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213736,SAMN10696841,simple,32630,synthetic construct,214640451_Ankur115-E1-45-3_S115,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,8CED5EF2EF2E846DDE459DC3D0394B0C,4A8C6FE342266280DD78CC8064E81DED
SRR8399539,2019-01-05 18:42:26,2019-01-05 18:39:39,33895,10371870,33895,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399539/SRR8399539.sralite.1,SRX5208959,214640453_Ankur143-A2-55-7_S143,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213473,SAMN10696645,simple,32630,synthetic construct,214640453_Ankur143-A2-55-7_S143,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,2CDD524FA3B5D8866645C70D0C595924,E8B7B4A1294D74E7A158324863C81627
SRR8399633,2019-01-05 18:42:24,2019-01-05 18:39:46,25170,7702020,25170,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399633/SRR8399633.sralite.1,SRX5208865,214640454_Ankur145-A3-55-1_S145,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213379,SAMN10696655,simple,32630,synthetic construct,214640454_Ankur145-A3-55-1_S145,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,7BB1901C97113A568C10D3B432E51173,23C87034DC81CC44A52850C239F1A269
SRR8399629,2019-01-05 18:42:25,2019-01-05 18:39:47,26826,8208756,26826,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399629/SRR8399629.sralite.1,SRX5208869,214640455_Ankur149-A3-55-5_S149,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213383,SAMN10696659,simple,32630,synthetic construct,214640455_Ankur149-A3-55-5_S149,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,998DE636F1449A0B5EAD8878133B104D,67A4F9B1656DD6962BEA0773068E6257
SRR8399561,2019-01-05 18:42:26,2019-01-05 18:39:43,28286,8655516,28286,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399561/SRR8399561.sralite.1,SRX5208937,214644436_Ankur001-A1-45-1_S1,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213451,SAMN10696615,simple,32630,synthetic construct,214644436_Ankur001-A1-45-1_S1,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,71FC9783025DD1BAFF36ED4DA4E37FF3,D67BB0E5478D07AEBA85681B657C74CF
SRR8399637,2019-01-05 18:42:24,2019-01-05 18:39:44,13399,4100094,13399,306,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399637/SRR8399637.sralite.1,SRX5208861,214644437_Ankur025-A4-45-1_S25,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213375,SAMN10696663,simple,32630,synthetic construct,214644437_Ankur025-A4-45-1_S25,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,F0185CCF2960607A33B32A0F03090E10,E186DD2D2DF7604BEA36A38764DB4FDB
SRR8399837,2019-01-05 18:43:21,2019-01-05 18:40:02,16504,5050224,16504,306,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399837/SRR8399837.sralite.1,SRX5209174,214644438_Ankur037-A6-45-5_S37,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213688,SAMN10696683,simple,32630,synthetic construct,214644438_Ankur037-A6-45-5_S37,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,ED875535D3BE7A3B306430EF92AFA4A9,6F168E75F215E8C88B5759B2B3D911BE
SRR8399950,2019-01-05 18:43:18,2019-01-05 18:40:36,18120,5544720,18120,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399950/SRR8399950.sralite.1,SRX5209061,214644439_Ankur061-B3-45-5_S61,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213575,SAMN10696731,simple,32630,synthetic construct,214644439_Ankur061-B3-45-5_S61,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,40DFF5CE95C82D54B837DB54D9FA367F,89FBB5909C35F9EA91395BB58A801E73
SRR8399945,2019-01-05 18:43:18,2019-01-05 18:40:41,28880,8837280,28880,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399945/SRR8399945.sralite.1,SRX5209066,214644440_Ankur064-B3-45-8_S64,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213580,SAMN10696734,simple,32630,synthetic construct,214644440_Ankur064-B3-45-8_S64,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,83FEE7B99B1B02DF4447999F73532BFE,33361EC421585BFF580BBEF603E1B99D
SRR8399616,2019-01-05 18:42:25,2019-01-05 18:39:48,32572,9967032,32572,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399616/SRR8399616.sralite.1,SRX5208882,214644443_Ankur092-C3-45-4_S92,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213396,SAMN10696794,simple,32630,synthetic construct,214644443_Ankur092-C3-45-4_S92,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,8DDE43D1DBD1FA9B084A607C910B33FE,1693AB74BA70D7DFA850B0A7F6C90731
SRR8399831,2019-01-05 18:43:21,2019-01-05 18:40:06,25461,7791066,25461,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399831/SRR8399831.sralite.1,SRX5209180,214644447_Ankur132-A1-55-4_S132,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213694,SAMN10696626,simple,32630,synthetic construct,214644447_Ankur132-A1-55-4_S132,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,6718011CD10FF993259EB72F5F79C4CF,8C2534772ED2284CA3C5F325055175D1
SRR8399828,2019-01-05 18:43:21,2019-01-05 18:40:05,22265,6813090,22265,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399828/SRR8399828.sralite.1,SRX5209183,214644448_Ankur133-A1-55-5_S133,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213697,SAMN10696627,simple,32630,synthetic construct,214644448_Ankur133-A1-55-5_S133,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,5E11A552621431F1DE22E796702A440F,C409A4DEF0214FE12920225C4DBFDF24
SRR8399829,2019-01-05 18:43:21,2019-01-05 18:40:09,31800,9730800,31800,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399829/SRR8399829.sralite.1,SRX5209182,214644449_Ankur134-A1-55-6_S134,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213696,SAMN10696628,simple,32630,synthetic construct,214644449_Ankur134-A1-55-6_S134,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,7C54A2B7CA86B08D18402B71F030E76F,E3478F8D2FFCD000C74FF942E7DA3A88
SRR8399925,2019-01-05 18:43:19,2019-01-05 18:40:38,24514,7501284,24514,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399925/SRR8399925.sralite.1,SRX5209086,214644450_Ankur139-A2-55-3_S139,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213600,SAMN10696641,simple,32630,synthetic construct,214644450_Ankur139-A2-55-3_S139,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,A435B94CB9143BB54243DA2CC5278522,29C3E47F4CC403CA8B7B14E81AD1FE8C
SRR8399924,2019-01-05 18:43:19,2019-01-05 18:40:38,40211,12304566,40211,306,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399924/SRR8399924.sralite.1,SRX5209087,214644451_Ankur140-A2-55-4_S140,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213601,SAMN10696642,simple,32630,synthetic construct,214644451_Ankur140-A2-55-4_S140,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,CD07FA9504076EF35C11BADA1D546EF5,1104ACBA4AF8516D3F5647D3800850C2
SRR8399770,2019-01-05 18:43:23,2019-01-05 18:40:02,25046,7664076,25046,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399770/SRR8399770.sralite.1,SRX5209241,214644453_Ankur153-A4-55-1_S153,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213755,SAMN10696671,simple,32630,synthetic construct,214644453_Ankur153-A4-55-1_S153,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,E275D5C7E1BC84EDEDD8209E4DA2D5FD,B241CAA3481C336B1538366C8B4B40AA
SRR8399955,2019-01-05 18:43:18,2019-01-05 18:40:40,49358,15103548,49358,306,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399955/SRR8399955.sralite.1,SRX5209056,214644455_Ankur174-B1-55-6_S174,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213570,SAMN10696708,simple,32630,synthetic construct,214644455_Ankur174-B1-55-6_S174,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,EF402EA28BB46A6882D7C397F323AD11,D1E00CCE2FE172AB7FA62E0C5C7F6D71
SRR8399584,2019-01-05 18:42:25,2019-01-05 18:39:43,35905,10986930,35905,306,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399584/SRR8399584.sralite.1,SRX5208914,214644457_Ankur179-B2-55-3_S179,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213428,SAMN10696721,simple,32630,synthetic construct,214644457_Ankur179-B2-55-3_S179,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,E4043093A9FBBB7BB6444517FF67BBFB,A6CBA550ED13C9CF8952FE73D5C6C2B9
SRR8399510,2019-01-05 18:42:27,2019-01-05 18:39:41,39182,11989692,39182,306,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399510/SRR8399510.sralite.1,SRX5208988,214644461_Ankur199-B4-55-7_S199,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213502,SAMN10696757,simple,32630,synthetic construct,214644461_Ankur199-B4-55-7_S199,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,DD12B89B0CB91FF49E1AE042724B9EA8,1366CE3855040C9EDC731EE8973CAEB5
SRR8399652,2019-01-05 18:42:24,2019-01-05 18:39:54,30684,9389304,30684,306,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399652/SRR8399652.sralite.1,SRX5208846,214644464_Ankur253-E2-55-5_S253,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213360,SAMN10696867,simple,32630,synthetic construct,214644464_Ankur253-E2-55-5_S253,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,2893C8B6B001A0A7E926BFFBD28C7C3D,89D7881DA24BA312653747AF2670D581
SRR8399564,2019-01-05 18:42:26,2019-01-05 18:39:42,24892,7616952,24892,306,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399564/SRR8399564.sralite.1,SRX5208934,214645438_Ankur008-A1-45-8_S8,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213448,SAMN10696622,simple,32630,synthetic construct,214645438_Ankur008-A1-45-8_S8,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,CA17CD1FC8FDA2B56947AB9BF06F555B,2A1DD226F78FCF33F67D832E69244CBA
SRR8399533,2019-01-05 18:42:26,2019-01-05 18:39:34,14770,4519620,14770,306,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/399/SRR8399533/SRR8399533.sralite.1,SRX5208965,214645439_Ankur023-A3-45-7_S23,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiniSeq,SRP175540,PRJNA513137,,513137,SRS4213479,SAMN10696653,simple,32630,synthetic construct,214645439_Ankur023-A3-45-7_S23,,,,,missing,,no,,,,,UNIVERSITY OF ILLINOIS AT CHICAGO,SRA831126,,public,31F617446A1173751029F71EE9FFB0B0,13FABBEF51C10842D0B2CAC257DAC638
